gene,D7_log2FC,D14_log2FC,D7_padj,recovery_ratio
Mrps28,1.39949721941241,0.0215103598301212,0.0469144730359541,0.9846299374291344
Smc4,1.39827665109398,0.386361013821488,0.024634893414774,0.7236877169341218
Cpt1a,1.37707048423913,0.688110274129075,4.80695140695798e-06,0.500308602933077
Hmgb2,1.37642966235502,-0.297219499160342,0.0001022854791839,0.7840648837429074
B4galt7,1.37581703423261,0.518385664082182,1.3292755834558e-08,0.6232161318083096
Trappc2l,1.3731835464578,0.565263371963146,0.0401538609349722,0.58835556002599
Myl6,1.36583466346935,0.487284407384682,0.033595355403321,0.6432332401442109
Mettl7a1,1.36215760785408,0.0533655076399079,0.0100378062093704,0.9608228098333063
Cfl1,1.360339834047,0.52024433187222,3.50816703081502e-10,0.6175629656271278
H3f3a,1.36017254948413,0.180030350850612,8.3735599278646e-06,0.8676415349516561
Cyb5r4,1.36006972268087,-0.0661497493325195,0.0379173357236755,0.9513629718907867
Dynlt1-ps1,1.35999161750607,0.578022196304587,0.0476396128219998,0.5749810595417092
Dynlt1b,1.35847191162244,0.377599132914074,0.0414840321239016,0.7220412658638613
Pfn1,1.3539582811868,0.443623869988272,0.0009238354870374,0.6723504142244194
Tmsb4x,1.34643916587298,0.518596493764716,0.0014602324459926,0.6148385260105846
Ccdc125,1.3449873304102,-0.296334875556422,0.028620870538227,0.779674597034275
Dek,1.34352864758302,0.50003418922972,0.0295194314698729,0.6278202253972991
Foxo4,1.34005905953525,0.615767572639804,0.0380796721715196,0.5404922131914394
Ap1s2,1.33863835451984,-0.247165703891536,0.0056653472062467,0.8153603599829675
Mtm1,1.33774605155888,0.63862536240641,0.0141872736080008,0.5226109158294896
Mrpl18,1.33347496123047,-0.605041540107656,0.0243648183592417,0.5462670408529071
Med30,1.33187751417793,0.155091436193868,0.0039887743959031,0.8835542799222085
Tyrobp,1.32838908186532,0.644380088335148,0.0026216039826612,0.5149161513505429
Fau,1.32330520640218,0.645927798055946,0.0197313347129332,0.5118829768590549
Mospd2,1.32324284754501,0.307373129542163,0.0010525834094009,0.7677122305157914
Pcna,1.32310831493915,0.426533829768468,0.0089390922471238,0.6776274285691536
Gins1,1.32063075974837,0.117766930279599,0.0182849729587647,0.9108252405827364
Sod1,1.31573278502751,0.629590034475344,0.0284031189868154,0.5214909580122835
Cmpk1,1.31031707287086,0.423118124221442,0.0020074427871037,0.6770872234043286
Tmem192,1.30797848795936,0.170298213184238,0.0106196540829128,0.8698004479798989
Llph-ps2,1.29452216269274,0.596932031131216,0.0182151898165119,0.5388784770671399
Tfdp1,1.29427412080359,0.292863435142411,0.0041086536647565,0.7737237958829173
Snx9,1.27771179777138,-0.226919184828258,0.0149344243765671,0.8224019021941751
Rraga,1.27528137499201,-0.0224158782187165,0.0341960949415502,0.9824227980912393
Rplp2,1.27375831235588,-0.099909950499694,0.0384218164092514,0.9215628667302626
Gm50340,1.27302549766111,-0.358465619116423,0.0415799474306505,0.7184144231399758
Rhoa,1.27286366757223,0.0005936869470138,0.0002670465706153,0.9995335816693188
Card19,1.26981112242545,0.0385635378540035,0.0453588376931616,0.969630492934773
Rfc5,1.2657024801919,0.277366082864292,0.0014101282666548,0.7808599673264138
Poldip3,1.26525260601971,-0.390728048331145,0.0330323480607916,0.6911857391384355
Rpl35a,1.25625981480129,0.381164644691536,0.0468778789366386,0.6965877279519388
Ddx60,1.25392591233331,0.579347877750863,0.0223501727844271,0.5379728004242209
Irak4,1.24533984719764,0.0132575134223883,0.0393429775714224,0.9893543007940994
Szrd1,1.23534727977411,0.476385246671368,0.0028073186341643,0.6143713962291821
Tnfaip8,1.23463447360894,0.435410926131885,0.0165976514952566,0.6473361667448485
Atad2,1.2330465650447,0.169590995940917,0.0038066647587133,0.8624618074056521
