gene,D1_fc,D4_fc,D7_fc,D14_fc,D1_padj,D4_padj,D7_padj,D14_padj,peak_timepoint,direction,pattern
Tyw3,-0.815371174240106,-1.02033124973037,-0.587581343085054,-0.162956138353557,0.108533913128078,0.0287090819735462,0.217621167279001,0.839011734392056,D4,down,other
Adgrg5,1.27640284255643,2.90466670976641,0.586169979346237,5.48733249189133,0.51144258606767,0.0597570794856241,0.737505598766831,0.0036946110991098,D14,up,late_D14
Bcar3,3.67526030606693,1.27571376254689,3.3558023380153,1.26175331189124,6.4808154842854e-08,0.114502197694975,1.64822116744459e-06,0.128777966236184,D1,up,D7_peak_resolve
Gm45805,-5.53154210915533,-1.47995078739286,-2.44235010665208,-1.04722233972533,0.0261732463495179,0.609179501844841,0.26348238854827,0.733344644748561,D1,down,acute_D1
Bmpr1a,0.612322481855411,-0.366910359368422,-1.40935494349776,0.104978372934829,0.337873244635778,0.60284601366416,0.0055609031579483,0.917779972486039,D7,down,other
E230034D01Rik,-0.275701382166621,-0.981351410484174,-6.06067230119352,0.931448301296984,0.978324594711689,0.825966848063793,0.0431227387381586,0.839614711090821,D7,down,other
Fmn2,-2.94374402561636,-2.42827755618482,-4.87991357529286,-1.23509967868695,0.11080595384822,0.177672201358751,0.0037930881532425,0.573689353403522,D7,down,other
Ptk7,-5.67754090600973,-0.158092258111414,-0.292234414937259,1.04888811541394,0.002247402369046,0.956237389281539,0.87796611203806,0.590522420076292,D1,down,acute_D1
Lifr,-1.64247418985509,-0.631224095217252,-1.74033293431767,-0.606277222028788,0.005788977395733,0.391739619575846,0.003375747820658,0.414769424856153,D7,down,other
Rell1,-0.079122039589922,0.872861800951852,1.44035890231524,1.84647271947241,0.965963469063907,0.174290263186441,0.0140275629306482,0.0011170537991657,D14,up,late_D14
Palmd,-0.664914613729238,-1.46602917814222,-3.54352681533556,-2.3268551829657,0.703752824086758,0.21519676684585,0.0005197420538927,0.033449704707665,D7,down,late_D14
Zfp125,0.13320518243268,-0.368612000767137,-0.310409637892134,1.50959154688671,0.931084398667673,0.64850960092769,0.641154688079347,0.0204572123634937,D14,up,late_D14
Slc32a1,-3.84102689874405,-5.03169263048355,-1.93232597763617,-2.41297486079186,0.171149782435947,0.0165139919249172,0.405489025470227,0.38542127069153,D4,down,other
Rufy4,6.27903225578583,1.35531424896971,0.784507397794081,4.35435190842245,0.0353578773566965,0.743217657127885,0.834545649782646,0.136304953472594,D1,up,acute_D1
Mpi,-0.662446846937023,-0.0044488503557303,-0.718393851321207,-1.06346965608028,0.251746334206603,0.997700328199126,0.151127202145569,0.0335770753623326,D14,down,late_D14
Pycr1,2.16415831184708,0.214323288066997,0.0463701997226548,3.32934066628096,0.0367810446676121,0.909959162583804,0.980912488321272,0.0695638807176094,D14,up,acute_D1
Hesx1,4.65600287027343,-0.786483812126547,2.43912168737753,-4.16040080923691,0.0308113253022711,1.0,0.186994806960575,0.062034765855463,D1,up,acute_D1
Zfp462,-2.25198761862622,-1.8716170617721,-4.76321419952023,-0.940823560575534,0.226263230360604,0.289845630587708,0.0073735970484577,0.670896041411534,D7,down,other
Dclk2,-0.655719140110799,-2.00829563979984,-3.14401792194498,-1.56516638004352,0.774506998332791,0.144356208576953,0.015737414173745,0.294645719833213,D7,down,other
Tmem221,-0.624456988700918,1.42581379853718,2.26498472657463,1.98870696218357,0.710874448491012,0.206818977296067,0.0275984937671985,0.0656819837406931,D7,up,D7_peak_resolve
Npm3,4.59464745832587,1.05649243922385,4.07791458879494,2.55189774313455,0.001158990413756,0.58460310590183,0.012353903404645,0.153612901740574,D1,up,D7_peak_resolve
Gm49089,0.571331877019969,-0.403148448416585,-5.04157435544982,0.322764230523335,0.922859464957471,0.930851874863358,0.0451450278754726,0.953257371426248,D7,down,other
Hcn2,-4.10038288644958,-2.38815056978857,-1.26917945586022,-5.4039277121209,0.0725784447393102,0.30597417776976,0.599002143556313,0.0085365901976253,D14,down,late_D14
Kcnn4,1.48134003928337,2.9843346770735,2.91245478022776,2.50457075725452,0.131022034801245,0.0002562846223719,0.0005139038098349,0.0036474411891554,D4,up,subacute_D4
Gm47331,-0.168668985129389,1.02203534060879,-5.723802264385,-0.592980405269904,0.989431993096229,0.775351670763707,0.0301229319449773,0.887841984218236,D7,down,other
H13,0.972855509523762,0.997969262206323,0.843019710669886,0.524367426487141,0.0009046151216497,0.000553008241412,0.0056061353679978,0.118108624155338,D4,up,subacute_D4
Pkig,-0.692783572660617,-1.10493535829603,-0.462805447876384,-0.947419838806285,0.112953466616785,0.0034965248498993,0.261122555064928,0.0178798245798935,D4,down,other
Hid1,-2.37032580873815,-3.13939473817211,-2.03536184347109,-2.28623587751959,0.0806675310852548,0.0090844386975492,0.111243774793034,0.0849952624571482,D4,down,other
Rbfox1,-2.05213811105759,-4.0982001267342,-3.24616662547191,-2.93916124914952,0.150963868033175,0.0004944992336187,0.0100362163166139,0.0220130410155334,D4,down,other
B130024G19Rik,0.160669714536505,0.0864222989255225,-6.46641540375497,1.65467385202205,0.990037351838202,0.986904740681116,0.0131017332755706,0.59118355400346,D7,down,other
Ntpcr,0.0926470217614396,0.798407977876417,0.260256574404632,0.260689150729815,0.86203886488887,0.0009398032663042,0.336776691082735,0.407618148104527,D4,up,subacute_D4
Cd24a,7.81243677979752,6.14733500713448,3.17658545413436,7.81503286586254,6.92656944449189e-06,1.25184815810272e-06,0.0245251044080993,7.56631976431652e-06,D14,up,sustained_up
