gene,TBI_mean,Sham_mean,log2FC
Myh6,0.0027275959,0.0024256376,0.034640133
Adam28,0.0064050974,0.0035624474,0.27452675
Tars,0.10532572,0.066725224,0.58794147
Lrrc6,0.025396656,0.0108558405,0.7631617
Sla,0.28675768,0.2251948,0.33542907
Ccdc166,0.008426661,0.0040729437,0.38887054
Xpnpep3,0.049078107,0.04729945,0.04410224
Mapk11,0.0063438094,0.0037678578,0.24744023
Tymp,0.0,0.0,0.0
Arsa,0.05071522,0.033275463,0.488509
Tmem106c,0.07092704,0.04760439,0.49044305
Rhebl1,0.006366226,0.005833196,0.047769114
Calcoco1,0.028283056,0.027037013,0.04773817
Dgcr8,0.021800183,0.016436085,0.2665265
Ece2,0.037105888,0.016107894,0.85142124
Nit2,0.041600153,0.024662953,0.5739807
Gm9242,0.020713212,0.0056205676,0.9754126
Cramp1l,0.07566533,0.066289894,0.16721952
Wdr24,0.02040535,0.021909798,-0.069674216
Wdr90,0.004985978,0.0010560283,0.4387801
Zfp81,0.02424057,0.018758101,0.25173822
BC051226,0.0036574784,0.0069385064,-0.31061545
Tap1,0.05536025,0.056040026,-0.01492723
H2-Eb1,0.00991497,0.004984288,0.41040286
C2,0.009848099,0.0013410957,0.8074409
Lsm2,0.063631065,0.023167491,1.1505446
Gtpbp2,0.09056502,0.106475316,-0.21189575
Nfya,0.07753835,0.08560314,-0.12714282
Mocs1,0.023720175,0.019884419,0.17421848
Sema6b,0.016980354,0.008923722,0.5117133
Gm20703,0.025784401,0.025755133,0.0011803498
Ndc80,0.00212155,0.0035079503,-0.15623456
Rmdn2,0.010964533,0.0085994415,0.17269135
Mocos,0.04318555,0.01513851,1.0811354
Gm26538,0.0051887366,0.009439517,-0.3559905
Pcdhb16,0.00074173906,0.0022952966,-0.19487906
Taf7,0.13153781,0.14873114,-0.16539769
Mppe1,0.00074185355,0.002072533,-0.16848543
Poli,0.021215014,0.019657316,0.073852114
Smad2,0.0664909,0.05406591,0.25573125
Rps6kb2,0.03404181,0.03270158,0.044584394
Gm21992,0.013071038,0.026565038,-0.66438186
Bbs1,0.0067161005,0.0038617644,0.27012748
2410152P15Rik,0.0015078097,0.0018067453,-0.036998123
Ms4a8a,0.0013047383,0.0,0.17692763
4930526L06Rik,0.0075019193,0.0015630273,0.59799385
