gene,mean_control,mean_7dpi,log2FC,pval,n_control,n_7dpi,FDR,significant
Nop9,0.13577618,0.09203909,-0.5604072,7.637676747558595e-21,8788,9002,2.5909586482746152e-20,True
Pcif1,0.15092535,0.10837335,-0.47745007,7.688024850308067e-21,8788,9002,2.6069872255397732e-20,False
Arrdc2,0.09550604,0.05902156,-0.69341743,7.697164184843577e-21,8788,9002,2.6090347416232482e-20,True
Slc30a1,0.07781207,0.04523097,-0.7813497,7.714785646214997e-21,8788,9002,2.6139545566494873e-20,True
Txndc9,0.17592219,0.13006714,-0.43539193,7.801782370539356e-21,8788,9002,2.642366951825588e-20,False
Exosc7,0.22757827,0.17396283,-0.38738838,7.875973963909656e-21,8788,9002,2.6664212860511846e-20,False
Sf3a1,0.13851875,0.0945978,-0.5497196,8.168795607137396e-21,8788,9002,2.764443984024413e-20,True
Fbxl15,0.07689917,0.043885086,-0.8078285,8.255395842404763e-21,8788,9002,2.792627471739094e-20,True
Zfpm2,0.061151102,0.13431963,1.1339362,8.47304041349959e-21,8788,9002,2.865100040143571e-20,True
Ccz1,0.45823807,0.38774034,-0.24094924,8.608941337171954e-21,8788,9002,2.9098844302783303e-20,False
Samd9l,0.18663837,0.14935233,-0.32133302,8.875260711287903e-21,8788,9002,2.99869752466125e-20,False
Slc35e2,0.37729537,0.5111787,0.43803316,9.06161518140616e-21,8788,9002,3.06043229711642e-20,False
Cyp2d36-ps,0.72757953,0.62656695,-0.21560428,9.327176609272382e-21,8788,9002,3.1488578175685615e-20,False
Edem2,0.21036746,0.15880424,-0.40543962,9.336734157497119e-21,8788,9002,3.1508200748906244e-20,False
Trmt10c,0.08515137,0.05250059,-0.696644,9.367040569256683e-21,8788,9002,3.159779964280532e-20,True
Acot12,0.47666097,0.6118859,0.36023238,9.382315533263552e-21,8788,9002,3.1636641515569646e-20,False
Bmp1,0.80272996,0.6940237,-0.20990162,9.488868715625712e-21,8788,9002,3.198311398419837e-20,False
Cpeb1,0.0902533,0.054120414,-0.7367411,1.0154782288967975e-20,8788,9002,3.421393007492494e-20,True
Mecp2,0.38522312,0.3292688,-0.22636485,1.0341921606630009e-20,8788,9002,3.4830498989823166e-20,False
Dnajc11,0.33154613,0.2653052,-0.32144812,1.0511433738336124e-20,8788,9002,3.53872317089323e-20,False
Erlec1,0.40199855,0.3357297,-0.25981933,1.058715583389192e-20,8788,9002,3.562789681221309e-20,False
Krit1,0.6310306,0.5473049,-0.20533021,1.0771512043094364e-20,8788,9002,3.6233798807897997e-20,False
Colgalt1,0.26492354,0.20729704,-0.3537251,1.081375165275877e-20,8788,9002,3.6361347983477035e-20,False
Akap1,0.45551178,0.3870416,-0.2349437,1.0856709245982479e-20,8788,9002,3.649120850437499e-20,False
Lrrc14,0.09655303,0.059238896,-0.70383686,1.0885146579794911e-20,8788,9002,3.657217978267356e-20,True
Arl6ip4,0.15977237,0.113931336,-0.48749027,1.1547308835545897e-20,8788,9002,3.878144081175555e-20,False
Tgfbr1,0.3830269,0.32582283,-0.23329195,1.1562119435528092e-20,8788,9002,3.8815686676415737e-20,False
Trmt10a,0.17922042,0.12973759,-0.46583167,1.1656995260167297e-20,8788,9002,3.911858840198942e-20,False
Rmdn2,0.5705627,0.4869333,-0.22861804,1.1776824470322927e-20,8788,9002,3.9504953855194095e-20,False
Cd84,0.1037725,0.18472038,0.83131015,1.1892662773619223e-20,8788,9002,3.987762930030232e-20,True
Parp9,0.44917557,0.3844115,-0.22457378,1.1993026790789066e-20,8788,9002,4.019814119159698e-20,False
Atp5j2,0.22061722,0.17039458,-0.37247324,1.2248823201390042e-20,8788,9002,4.1039167500316376e-20,False
Top3b,0.3233761,0.26190034,-0.30409047,1.2434564840889705e-20,8788,9002,4.164490207261349e-20,False
Gca,0.092148714,0.058403056,-0.6570169,1.2530160006627807e-20,8788,9002,4.194836296687614e-20,True
