gene,mean_control,mean_7dpi,log2FC,pval,n_control,n_7dpi,FDR,significant
Neo1,0.10238655,0.13875031,0.43809587,0.0034668850894772167,1503,1879,0.02027515805563686,False
Desi2,0.4386162,0.5243769,0.25759143,0.003469407925614952,1503,1879,0.02027515805563686,False
Apoc3,1.2321478,1.1281521,-0.12720293,0.0034870180096507903,1503,1879,0.02036294258642399,False
Ubb,0.1380196,0.08953133,-0.6238431,0.003510220929575186,1503,1879,0.020483232813084878,True
Gle1,0.21077852,0.26552552,0.33298156,0.003518355255109297,1503,1879,0.020515479938242945,False
1110019D14Rik,0.106135935,0.14842421,0.48342624,0.0035315326603976714,1503,1879,0.020577063634583764,False
F12,0.32594272,0.40218922,0.30317202,0.0035343969089703317,1503,1879,0.020578509316033035,False
Gpcpd1,0.7028167,0.794404,0.17670062,0.0035436597176485216,1503,1879,0.020617179984484667,False
Aoah,1.3931484,1.2741119,-0.12884733,0.0035479590364947268,1503,1879,0.02062693701483187,False
Slc37a2,0.19949493,0.15035768,-0.40771738,0.0035763601794648403,1503,1879,0.020776698058840793,False
Vps13c,0.8455573,0.9419008,0.15565516,0.0035871747685357748,1503,1879,0.020824145187677053,False
Tmem268,0.25516117,0.19792685,-0.36627793,0.0036296253803361042,1503,1879,0.02105503926380811,False
Aar2,0.11618976,0.07183638,-0.6929306,0.0036426477069517733,1503,1879,0.021099798607498298,True
Efna5,0.0911789,0.12785336,0.48726475,0.003642706141492841,1503,1879,0.021099798607498298,False
Tlr3,0.11926572,0.079721466,-0.5805398,0.0036616745301632004,1503,1879,0.021194063174587,True
Odf2,0.34006405,0.2768595,-0.29655567,0.0036778848475609734,1503,1879,0.02127223691979016,False
Paqr9,0.41378984,0.3333723,-0.3116799,0.003692621654893368,1503,1879,0.02134177952784073,False
Hibch,0.19387408,0.23945735,0.3045073,0.0037187487627489734,1503,1879,0.02147700276636081,False
Avl9,0.35058326,0.4138904,0.23942882,0.003721570845115854,1503,1879,0.02147753211128489,False
Ttc23,0.3416692,0.41454598,0.27885777,0.0037344734116964034,1503,1879,0.02153619344311137,False
Lman1,0.39630988,0.32254192,-0.29705903,0.0037585615772309415,1503,1879,0.021659227374724237,False
Limd1,0.16577423,0.21186976,0.35376874,0.00381842295049958,1503,1879,0.02198807827864546,False
Hsd17b13,0.2932895,0.36365935,0.310167,0.0038556236206470865,1503,1879,0.022186053694228224,False
Timmdc1,0.3509368,0.27610803,-0.34586704,0.0038706460226221834,1503,1879,0.022256214630077552,False
Myo1e,0.41585955,0.4919337,0.24231395,0.0038760348017639317,1503,1879,0.022270920197717373,False
Fbxo9,0.22371764,0.27403218,0.29254785,0.003916239128940455,1503,1879,0.022485501451274172,False
Agmo,1.3950701,1.4876859,0.092726015,0.003924365273677122,1503,1879,0.022499702574712236,False
Top1,1.315264,1.208882,-0.12166932,0.003926500518653743,1503,1879,0.022499702574712236,False
Slc1a2,0.2742143,0.34037763,0.31173018,0.003927293622562916,1503,1879,0.022499702574712236,False
Phf10,0.11388068,0.15121554,0.4087708,0.003971615957022799,1503,1879,0.022737067771427467,False
